Brand,Model,Year,Power,Drivetrain,Form Factor,Price,Type,Range,Picture
Audi,e-tron 55 quattro,2021,408,AWD,SUV,88850,BEV,355,https://evchargeplus.com/wp-content/uploads/2019/11/Audi-e-tron-quattro-00.png
Audi,A3 e-tron,2019,204,AWD,SUV,42125,PHEV,520,https://static.oemdtc.com/Uploads/2019-Audi-A3-e-tron.png
Audi,Q5 TFSI e,2020,362,AWD,SUV,73100,PHEV,647,https://images.dealer.com/ddc/vehicles/2021/Audi/Q5%20e/SUV/perspective/front-left/2021_24.png
Audi,A8,2021,443,AWD,Sedan,99000,PHEV,430,https://images.dealer.com/ddc/vehicles/2021/Audi/A8/Sedan/perspective/front-left/2021_76.png
Bentley,Bentayga,2021,443,AWD,SUV,168100,PHEV,335,https://static.tcimg.net/vehicles/primary/d3e7075effd4d47c/2021-Bentley-Bentayga-white-full_color-driver_side_front_quarter.png
BMW,i3,2021,170,RWD,Hatchback,57543,BEV,235,https://static1.squarespace.com/static/55fdc875e4b0ef39e07200ed/55fdc8f6e4b0f97d395881f0/5f96409a8cd4814a3dd07012/1604896133497/2020-BMW-i3.png?format=1500w
BMW,i3,2021,170,RWD,Hatchback,57543,PHEV,235,https://static1.squarespace.com/static/55fdc875e4b0ef39e07200ed/55fdc8f6e4b0f97d395881f0/5f96409a8cd4814a3dd07012/1604896133497/2020-BMW-i3.png?format=1500w
BMW,i3s,2021,184,RWD,Hatchback,61681,BEV,195,https://www.motortrend.com/uploads/sites/10/2021/01/2021-bmw-i3-s-5door-hatchback-angular-front.png
BMW,i3s,2021,184,RWD,Hatchback,61681,PHEV,195,https://www.motortrend.com/uploads/sites/10/2021/01/2021-bmw-i3-s-5door-hatchback-angular-front.png
BMW,i8,2020,369,AWD,Subcompact,189117,PHEV,100,https://smartcdn.prod.postmedia.digital/driving/wp-content/uploads/2020/05/chrome-image-412413.png
BMW,X3,2021,382,AWD,SUV,73350,PHEV,598,https://thebmwstore.ca/sites/default/files/styles/inventory_gallery_960/public/assets/vehicle/photo/new/2021/bmw/x3/cc_2021BMS200017_01_1280_300.png?itok=lp-WDzOQ
BMW,530e,2021,180,AWD,Mid-size,72847,PHEV,533,https://cdn.jdpower.com/ChromeImageGallery/Expanded/Transparent/640/2021BMC84_640/2021BMC840001_640_01.png
BMW,530Xe,2021,184,AWD,Mid-size,71573,PHEV,595,https://carimages.d2cmedia.ca/newcarimages/BMW/5%20Series%20Hybrid/2021//415658/White/front45.png
BMW,330Xe,2021,300,AWD,Sedan,59284,PHEV,490,https://s.aolcdn.com/commerce/autodata/images/USD10BMC711A021001.jpg
Chevrolet,Volt,2019,149,FWD,Compact,49662,PHEV,675,https://www.motortrend.com/uploads/sites/10/2018/10/2019-chevrolet-volt-lt-5door-hatchback-angular-front.png
Chevrolet,Bolt,2020,200,FWD,Station Wagon,53356,BEV,416,https://file.kelleybluebookimages.com/kbb/base/evox/CP/13022/2021-Chevrolet-Bolt%20EV-front_13022_032_1855x924_GD1_cropped.png
Chrysler,Pacifica,2020,287,AWD,Minivan,54885,PHEV,580,https://medias.fcacanada.ca/jellies/renditions/2020/800x510/CC20_RUCL53_2DE_PAU_APA_XXX_XXX_XXX.41e6b4ea48e980bc39461795a2eebe23.png
Ferrari,SF 90 Stradale,2021,986,FWD,Sport,795972,PHEV,210,https://static.tcimg.net/vehicles/primary/efabcab28922d666/2020-Ferrari-SF90_Stradale-white-full_color-driver_side_front_quarter.png
